Auction Date,Auction Session,Order No.,License Plate,Auction Price,Result Code
1/6/1990,AM,1.0,2828,490000.0,S
1/6/1990,AM,2.0,178,220000.0,S
1/6/1990,AM,3.0,988,250000.0,S
1/6/1990,AM,4.0,1313,190000.0,S
1/6/1990,AM,5.0,67,330000.0,S
1/6/1990,AM,6.0,886,360000.0,S
1/6/1990,AM,7.0,2222,540000.0,S
1/6/1990,AM,8.0,818,290000.0,S
1/6/1990,AM,9.0,223,380000.0,S
1/6/1990,AM,10.0,8833,320000.0,S
1/6/1990,AM,11.0,11,1100000.0,S
1/6/1990,AM,12.0,983,300000.0,S
1/6/1990,AM,13.0,388,380000.0,S
1/6/1990,AM,14.0,89,680000.0,S
1/6/1990,AM,15.0,1188,290000.0,S
1/6/1990,AM,16.0,15,930000.0,S
1/6/1990,AM,17.0,822,310000.0,S
1/6/1990,AM,18.0,939,270000.0,S
1/6/1990,AM,19.0,27,700000.0,S
1/6/1990,AM,20.0,813,300000.0,S
1/6/1990,AM,21.0,399,350000.0,S
2/24/1990,AM,1.0,EE 6638,9000.0,S
2/24/1990,AM,2.0,EE 105,3000.0,S
2/24/1990,AM,3.0,DY 9328,4000.0,S
2/24/1990,AM,4.0,BZ 500,18000.0,S
2/24/1990,AM,5.0,BM 730,25000.0,S
2/24/1990,AM,6.0,EE 991,12000.0,S
2/24/1990,AM,7.0,EE 28,138000.0,S
2/24/1990,AM,8.0,EE 3299,6000.0,S
2/24/1990,AM,9.0,EE 877,10000.0,S
2/24/1990,AM,10.0,EE 388,85000.0,S
2/24/1990,AM,11.0,EE 2,280000.0,S
2/24/1990,AM,12.0,EE 983,12000.0,S
2/24/1990,AM,13.0,EE 880,20000.0,S
2/24/1990,AM,14.0,BM 325,20000.0,S
2/24/1990,AM,15.0,3693,39000.0,S
2/24/1990,AM,16.0,EE 110,23000.0,S
2/24/1990,AM,17.0,EE 280,30000.0,S
2/24/1990,AM,18.0,EE 932,5000.0,S
2/24/1990,AM,19.0,EC 119,11000.0,S
2/24/1990,AM,20.0,EE 7,70000.0,S
2/24/1990,AM,21.0,EE 288,45000.0,S
2/24/1990,AM,22.0,EE 330,15000.0,S
2/24/1990,AM,23.0,EE 99,75000.0,S
2/24/1990,AM,24.0,EE 6618,30000.0,S
2/24/1990,AM,25.0,EE 103,10000.0,S
2/24/1990,AM,26.0,BB 678,20000.0,S
2/24/1990,AM,27.0,EE 1300,5500.0,S
2/24/1990,AM,28.0,EE 220,18000.0,S
2/24/1990,AM,29.0,EB 4,28000.0,S
2/24/1990,AM,30.0,EE 320,5000.0,S
2/24/1990,AM,31.0,EE 338,50000.0,S
2/24/1990,AM,32.0,CC 5000,25000.0,S
2/24/1990,AM,33.0,BR 6999,5000.0,S
2/24/1990,AM,34.0,EE 959,8500.0,S
2/24/1990,AM,35.0,EE 2220,11000.0,S
2/24/1990,AM,36.0,ED 645,6500.0,S
2/24/1990,AM,37.0,EE 3378,10000.0,S
2/24/1990,AM,38.0,EE 2331,5000.0,S
2/24/1990,AM,39.0,EE 1811,8500.0,S
2/24/1990,AM,40.0,EE 7333,26000.0,S
3/24/1990,AM,1.0,EE 8288,19000.0,S
3/24/1990,AM,2.0,EE 7008,5000.0,S
3/24/1990,AM,3.0,EB 5,33000.0,S
3/24/1990,AM,4.0,EE 6318,7000.0,S
3/24/1990,AM,5.0,EF 400,10000.0,S
3/24/1990,AM,6.0,EE 1698,16000.0,S
3/24/1990,AM,7.0,314,30000.0,S
3/24/1990,AM,8.0,BR 711,13000.0,S
3/24/1990,AM,9.0,AS 2352,1000.0,S
3/24/1990,AM,10.0,EE 369,32000.0,S
3/24/1990,AM,11.0,CX 1,130000.0,S
3/24/1990,AM,12.0,EE 633,30000.0,S
3/24/1990,AM,13.0,EE 2628,17000.0,S
3/24/1990,AM,14.0,EE 1233,25000.0,S
3/24/1990,AM,15.0,2856,23000.0,S
3/24/1990,AM,16.0,EE 869,18000.0,S
3/24/1990,AM,17.0,EE 9899,22000.0,S
3/24/1990,AM,18.0,EE 6326,6000.0,S
3/24/1990,AM,19.0,EE 923,15000.0,S
3/24/1990,AM,20.0,EE 88,260000.0,S
3/24/1990,AM,21.0,EE 163,40000.0,S
3/24/1990,AM,22.0,EE 6628,25000.0,S
3/24/1990,AM,23.0,AR 778,36000.0,S
3/24/1990,AM,24.0,EE 222,80000.0,S
3/24/1990,AM,25.0,EE 119,16000.0,S
3/24/1990,AM,26.0,EE 811,22000.0,S
3/24/1990,AM,27.0,EB 6,55000.0,S
3/24/1990,AM,28.0,EE 629,10000.0,S
3/24/1990,AM,29.0,ED 9239,5000.0,S
3/24/1990,AM,30.0,EE 822,26000.0,S
3/24/1990,AM,31.0,EE 1133,47000.0,S
3/24/1990,AM,32.0,EE 2229,12000.0,S
3/24/1990,AM,33.0,EE 1005,5000.0,S
3/24/1990,AM,34.0,EE 964,1000.0,S
3/24/1990,AM,35.0,9915,23000.0,S
3/24/1990,AM,36.0,EE 1102,8000.0,S
3/24/1990,AM,37.0,CC 314,12000.0,S
3/24/1990,AM,38.0,EE 9007,3500.0,S
3/24/1990,AM,39.0,EE 449,4500.0,S
3/24/1990,AM,40.0,EE 6616,3500.0,S
4/28/1990,AM,1.0,EE 3338,16000.0,S
4/28/1990,AM,2.0,EE 511,2000.0,S
4/28/1990,AM,3.0,BC 8699,2000.0,S
4/28/1990,AM,4.0,EG 727,8000.0,S
4/28/1990,AM,5.0,EE 9800,2000.0,S
4/28/1990,AM,6.0,EE 325,6000.0,S
4/28/1990,AM,7.0,EB 8,80000.0,S
4/28/1990,AM,8.0,EE 1956,2000.0,S
4/28/1990,AM,9.0,EE 786,6000.0,S
4/28/1990,AM,10.0,EE 2880,7000.0,S
4/28/1990,AM,11.0,BX 1,40000.0,S
4/28/1990,AM,12.0,EE 987,3000.0,S
4/28/1990,AM,13.0,EE 2238,11000.0,S
4/28/1990,AM,14.0,EE 680,13000.0,S
4/28/1990,AM,15.0,EE 875,3000.0,S
4/28/1990,AM,16.0,EG 35,8000.0,S
4/28/1990,AM,17.0,DD 109,10000.0,S
4/28/1990,AM,18.0,HK 964,6000.0,S
4/28/1990,AM,19.0,EE 321,9000.0,S
4/28/1990,AM,20.0,DL 22,43000.0,S
4/28/1990,AM,21.0,EE 238,26000.0,S
4/28/1990,AM,22.0,BG 980,12000.0,S
4/28/1990,AM,23.0,EB 7,31000.0,S
4/28/1990,AM,24.0,EE 1928,5000.0,S
4/28/1990,AM,25.0,EG 11,31000.0,S
4/28/1990,AM,26.0,AA 722,16000.0,S
4/28/1990,AM,27.0,DF 53,6000.0,S
4/28/1990,AM,28.0,EE 107,3000.0,S
